name,department,format
Microwave and Radar Remote Sensing (Übung)  ,34341600 FG Computer Vision and Remote Sensing,Practical tutorial
Recent Trends in Deep Learning for Computer Vision (Seminar)  ,34342200 FG Remote Sensing Image Analysis,Seminar
Applications of Robotics and Autonomous Systems (Projekt),34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Data Science for Cognitive Neuroscience (Integrierte Veranstaltung)  ,34353100 FG Sprache und Kommunikation in biologischen und künstlichen Systemen,Integrated course
Foundations of Data Literacy and Data Science (Übung)  ,34353100 FG Sprache und Kommunikation in biologischen und künstlichen Systemen,Practical tutorial
Machine Learning for Computer Security (Integrierte Veranstaltung)  ,34353000 FG Maschinelles Lernen und IT-Sicherheit,Integrated course
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 11,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Datensysteme - Machine Learning Pipelines (Praktikum)  ,34353500 FG Management von Data Science-Prozessen,Practical course
Applied Computer Vision (Übung)  ,34341600 FG Computer Vision and Remote Sensing,Practical tutorial
Microwave and Radar Remote Sensing (Vorlesung)  ,34341600 FG Computer Vision and Remote Sensing,Lecture
Robotics: Current Topics (Seminar)  ,34341700 FG Robotik | Robotics and Biology Laboratory,Seminar
Engineering Data for Machine Learning (Vorlesung)  ,34353500 FG Management von Data Science-Prozessen,Lecture
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 12,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Network Simulation (Integrierte Veranstaltung)  ,34331200 FG Telekommunikationsnetze,Integrated course
Einführung in die Informatik - Vertiefung (Übung),34351300 FG Neuronale Informationsverarbeitung,Practical tutorial
5G / 6G Software Networks (Vorlesung)  ,34335400 FG S-Professur Architekturen der Vermittlungsknoten,Lecture
Verteilte Systeme (Vorlesung)  , 34331500 FG Distributed and Operating Systems (DOS),Lecture
Advanced Wireless Communications I (Vorlesung)  ,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,Lecture
Grundlagen Digitaler Vernetzung (Vorlesung)  ,34332300 FG Open Distributed Systems (ODS),Lecture
Cryptography for Security (Vorlesung),34355100 FG S-Professur Security in Telecommunications (SecT),Lecture
Modellierung in der Computergraphik (Computergraphik II) (Vorlesung)  ,34341300 FG Computer Graphics,Lecture
Large Scale Data Integration (LSDIPro) (Projekt),34353400 FG Data Integration and Data Preparation,Project
Study Project - Chatbot Challenge,34355300 FG S-Professur Quality and Usability,Project
Diskrete Strukturen (Vorlesung)  ,34351100 FG Algorithmik und Komplexitätstheorie,Lecture
Algebraische Prozesskalküle (Integrierte Veranstaltung)  ,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),Integrated course
Advanced Wireless Communications II (Seminar)  ,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,Seminar
Grundlagen Digitaler Vernetzung (Seminar)  ,34332300 FG Open Distributed Systems (ODS),Seminar
Robot Learning (Integrierte Veranstaltung)  ,34342100 FG Intelligent Systems,Integrated course
Vehicular Networking and Cooperative Driving (Integrierte Veranstaltung)  ,34331200 FG Telekommunikationsnetze,Integrated course
Datacenter networking and Software-Defined Networks (Integrierte Veranstaltung)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Integrated course
System Quality Engineering (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
Introduction into Critical Data Studies (Seminar)  ,34332900 FG Internet und Gesellschaft,Seminar
Event-based Robot Vision (Projekt)  ,34342000 FG Robotic Interactive Perception,Project
RoboCup (Projekt)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Machine Learning and Security (Projekt)  ,34353000 FG Maschinelles Lernen und IT-Sicherheit,Project
Modelle zur Informationsverarbeitung im Gehirn (Übung)  ,34351300 FG Neuronale Informationsverarbeitung,Practical tutorial
Computer Security,34355100 FG S-Professur Security in Telecommunications (SecT),Advanced seminar
Modellierung in der Computergraphik (Computergraphik II) (Übung)  ,34341300 FG Computer Graphics,Practical tutorial
Natural Language Processing for Social Good (Programmierpraktikum)  ,34332900 FG Internet und Gesellschaft,Programming practical course
Implementierung digitaler Systeme zur Echtzeit-Signalverarbeitung (Integrierte Veranstaltung)  ,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,Integrated course
Active Sensing (Seminar),34351300 FG Neuronale Informationsverarbeitung,Seminar
Studienprojekt Augmented Campus Map (ACAMA),34355300 FG S-Professur Quality and Usability,Project
Selected Areas of Telecommunication Networks (Seminar)  ,34331200 FG Telekommunikationsnetze,Seminar
Quantum Computing (Vorlesung)  ,34355100 FG S-Professur Security in Telecommunications (SecT),Lecture
Architecture of Machine Learning Systems (AMLS) (Vorlesung),34352900 FG Big Data Engineering,Lecture
Blockchain Lab (Projekt)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Project
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 13,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Deep Learning 2 (Integrierte Veranstaltung) (Übung),34352000 FG Maschinelles Lernen,Integrated course
Responsible Data Engineering (Seminar)  ,34353500 FG Management von Data Science-Prozessen,Seminar
Medical Image Processing (Übung)  ,34341600 FG Computer Vision and Remote Sensing,Practical tutorial
Praktisches Programmieren und Rechneraufbau (Vorlesung)  ,34351300 FG Neuronale Informationsverarbeitung,Lecture
Autonomous Security (Seminar),34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Seminar
Master Seminar: Machine Learning and Security (Seminar)  ,34353000 FG Maschinelles Lernen und IT-Sicherheit,Seminar
IT-Security Lab: Vulnerability Assessment (Praktikum),34355100 FG S-Professur Security in Telecommunications (SecT),Practical course
Advanced Project - RR,34355300 FG S-Professur Quality and Usability,Project
Multi-Robot Systems (Seminar)  ,34342300 FG Multi-Roboter-Systeme,Seminar
Klassische Algorithmen der Computer-Graphik (Seminar),34341300 FG Computer Graphics,Seminar
Computer Graphics (Projekt),34341300 FG Computer Graphics,Project
Systemprogrammierung (Vorlesung)  , 34331500 FG Distributed and Operating Systems (DOS),Lecture
Maschinelles Lernen II (Integrierte Veranstaltung),34352000 FG Maschinelles Lernen,Integrated course
Computer Graphics B (Seminar),34341300 FG Computer Graphics,Seminar
Programmierpraktikum: Modelle Dynamischer Systeme (Praktikum),34351900 FG Modelle und Theorie Verteilter Systeme (MTV),Practical course
Autonomous Security (Seminar)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Seminar
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 14,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Algorithmen und Datenstrukturen (AlgoDat) (Vorlesung)  ,34341700 FG Robotik | Robotics and Biology Laboratory,Lecture
Machine Intelligence II (Übung),34351300 FG Neuronale Informationsverarbeitung,Practical tutorial
"Mind, Body, Environment: An Interactive Seminar on Embodied Intelligence (Seminar)  ",34341700 FG Robotik | Robotics and Biology Laboratory,Seminar
Praktische Programmieren & Rechneraufbau,34351300 FG Neuronale Informationsverarbeitung,Lecture
Bachelor Seminar: Machine Learning and Security (Seminar)  ,34353000 FG Maschinelles Lernen und IT-Sicherheit,Seminar
Advanced Study Projects: Basiswissen NLP,34355300 FG S-Professur Quality and Usability,Training
Digitale Nachrichtenübertragung (Übung)  ,34331100 FG Nachrichtenübertragung,Practical tutorial
Open Source Mobile Network Technologies Workshop,34335400 FG S-Professur Architekturen der Vermittlungsknoten,Workshop
Quantum Computing,34355100 FG S-Professur Security in Telecommunications (SecT),Practical tutorial
Diskrete Strukturen (Vorlesung),34351100 FG Algorithmik und Komplexitätstheorie,Lecture
Internet of Services Lab (Projekt)  ,34335700 FG S-Professur Service Centric Networking (SNET),Project
Open Distributed Systems (ODS) (Seminar),34332300 FG Open Distributed Systems (ODS),Seminar
Large-scale Data Engineering (Seminar) ,34352900 FG Big Data Engineering,Seminar
Internet of Services Lab (Seminar)  ,34335700 FG S-Professur Service Centric Networking (SNET),Seminar
Grundlagen des Softwaretestens SoSe 25 - Blockveranstaltung,34332300 FG Open Distributed Systems (ODS),Lecture
*Zweittermin Test* Grundlagen des Softwaretestens SoSe 2025,34332300 FG Open Distributed Systems (ODS),Lecture
