name,credit,department,language,charge
Lichttechnik: Grundlagen und Anwendungen,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
Lichttechnische Forschung,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
Licht- und Farbwahrnehmung,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
Logik,6,34352200 FG Logik und Semantik,de,"Kreutzer, Stephan"
"Logik, Spiele, Automaten",9,34352200 FG Logik und Semantik,de,"Kreutzer, Stephan"
Logik und Komplexität,6,34352200 FG Logik und Semantik,de,"Kreutzer, Stephan"
Logische Methoden der Informatik,6,34352200 FG Logik und Semantik,de,"Kreutzer, Stephan"
Machine and Behavior,3,34341700 FG Robotik | Robotics and Biology Laboratory,en,"Brock, Oliver"
Machine Intelligence,12,34351300 FG Neuronale Informationsverarbeitung,en,"Obermayer, Klaus"
Machine Intelligence I,6,34351300 FG Neuronale Informationsverarbeitung,en,"Obermayer, Klaus"
Machine Intelligence II,6,34351300 FG Neuronale Informationsverarbeitung,en,"Obermayer, Klaus"
Machine Learning 1,9,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Machine Learning 1-X,12,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Machine Learning 2,9,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Machine Learning 2-X,12,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Machine Learning and Communications,3,34352800 FG Maschinelles Lernen und Kommunikation,en,"Samek, Wojciech"
Machine Learning and Data Management Systems,3,34352900 FG Big Data Engineering,en,"Böhm, Matthias"
Machine Learning and Inverse Modeling in Neuroimaging,3,"34352700 FG S-Professur Unsicherheit, inverse Modellierung und maschinelles Lernen (UNIML)",en,"Haufe, Stefan"
Machine Learning and Security - Advanced Project,9,34353000 FG Maschinelles Lernen und IT-Sicherheit,de,"Rieck, Konrad"
Machine Learning and Security - Bachelor Seminar,3,34353000 FG Maschinelles Lernen und IT-Sicherheit,de,"Rieck, Konrad"
Machine Learning and Security - Master Seminar,3,34353000 FG Maschinelles Lernen und IT-Sicherheit,de,"Rieck, Konrad"
Machine Learning and Security - Project,9,34353000 FG Maschinelles Lernen und IT-Sicherheit,de,"Rieck, Konrad"
Machine Learning for Computer Security,6,34353000 FG Maschinelles Lernen und IT-Sicherheit,en,"Rieck, Konrad"
Machine Learning for Remote Sensing Data Analysis,3,Institut für Technische Informatik und Mikroelektronik,en,"Demir, Begüm"
Machine Learning in Medical Image Processing,9,34341600 FG Computer Vision and Remote Sensing,en,"Hennemuth, Anja"
Machine Learning in Neuroscience,3,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Machine Learning in Science and Industry,3,34352000 FG Maschinelles Lernen,en,"Montavon, Gregoire"
Machine Learning Lab Course,9,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Machine Learning Project,9,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Maschinelles Lernen für die Zustandsüberwachung von technischen Anlagen und Systemen,6,34311600 FG Elektronische Mess- und Diagnosetechnik,de,"Gühmann, Clemens"
Masterarbeit Automotive Systems,30,Fakultät IV,de,"Möller, Sebastian"
Masterarbeit Automotive Systems,30,Fakultät IV,de,"Gühmann, Clemens"
Masterarbeit Automotive Systems StuPO 2017,30,Fakultät IV,de,"Gühmann, Clemens"
Masterarbeit Computer Engineering,30,Fakultät IV,de,"Gerfers, Friedel"
Masterarbeit Computer Science / Informatik,30,Fakultät IV,de,"Glesner, Sabine"
Masterarbeit Elektrotechnik,30,Fakultät IV,de,"Schäfer, Uwe"
Masterarbeit Elektrotechnik,30,Fakultät IV,de,"Kowal, Julia"
Masterarbeit Elektrotechnik StuPO 2015,30,Fakultät IV,de,"Schäfer, Uwe"
Masterarbeit Elektrotechnik StuPO 2015,30,Fakultät IV,de,"Kowal, Julia"
Masterarbeit ICT Innovation,30,Fakultät IV,de,"Möller, Sebastian"
Masterarbeit Informatik,30,Fakultät IV,de,"Glesner, Sabine"
Masterarbeit Medieninformatik,30,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Masterarbeit Medientechnik,30,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Masterarbeit Technische Informatik,30,Fakultät IV,de,"Gerfers, Friedel"
Masterarbeit Wirtschaftsinformatik / Information Systems Management,30,Fakultät IV,de,"Glesner, Sabine"
